location,start_date,end_date,description,USA for sure,timestamp
San Francisco,9/25/2022,9/25/2022,Folsom Street Fair,1,20220901034345
Las Vegas,10/7/2022,10/8/2022,Las Vegas Pride,1,20220901034345
Honolulu,10/15/2022,10/15/2022,Honolulu gay pride,1,20220901034345
Orlando,10/15/2022,10/15/2022,Orlando Pride,1,20220901034345
Los Angeles,10/21/2022,10/28/2022,Atlantis LA Mexico gay cruise,1,20220901034345
Palm Springs,11/4/2022,11/6/2022,Greater Palm Springs Pride,1,20220901034345
Phoenix,11/6/2022,11/7/2022,Phoenix LGBT+ gay pride festival,1,20220901034345
Fort Lauderdale,11/25/2022,12/4/2022,Pig Week,1,20220901034345
Washington D.C,1/13/2023,1/16/2023,Mid Atlantic Leather Weekend,1,20230110021932
Aspen,1/15/2023,1/22/2023,Gay and Lesbian Ski Week,1,20230110021932
Orlando,1/22/2023,1/29/2023,Atlantis gay cruise on NCL Prima,1,20230110021932
Fort Lauderdale,2/4/2023,2/12/2023,Atlantis gay cruise on Harmony,1,20230110021932
Fort Lauderdale,2/10/2023,2/12/2023,Pride Fort Lauderdale,1,20230110021932
Miami,2/10/2023,2/17/2023,RSVP Caribbean gay cruise,1,20230110021932
Orlando,3/5/2023,3/12/2023,Atlantis gay cruise on NCL Prima,1,20220519193046
Miami,3/8/2023,3/14/2023,Winter Party Miami,1,20230110021932
Mammoth Lakes,3/15/2023,3/19/2023,Elevation Mammoth gay ski week,1,20230110021932
Cleveland,4/6/2023,4/9/2023,Claw Leather Awareness,1,20230110021932
Miami,4/15/2023,4/16/2023,Miami Beach gay pride,1,20230110021932
Palm Springs,5/12/2023,5/14/2023,White Party Palm Springs,1,20230110021932
Dallas,6/3/2023,6/4/2023,Dallas Pride Weekend,1,20230110021932
Oceanside,6/3/2023,6/3/2023,Pride by the beach,1,20230110021932
Key West,6/7/2023,6/11/2023,Key West Pride,1,20230110021932
Denver,6/24/2023,6/25/2023,Gay Pride Fest Denver,1,20230110021932
San Francisco,6/24/2023,6/25/2023,San Francisco Pride,1,20230110021932
Seattle,6/24/2023,6/25/2023,Seattle Pride,1,20230110021932
Los Angeles,9/22/2023,9/24/2023,Gay Days Anaheim,1,20230110021932
