location,start_date,end_date,description,USA for sure,timestamp
Oceanside,10/13/2012,10/13/2012,Pride @ the beach,1,20120915052450
New Orleans,10/25/2012,10/31/2012,Halloween,1,20121026150829
Los Angeles,10/28/2012,11/4/2012,Atlantis LA Mexico gay cruise,1,20121026150829
Los Angeles,10/31/2012,10/31/2012,Gay Halloween Streetparty,1,20121026150829
Palm Springs,11/4/2012,11/4/2012,Greater Palm Springs Pride,1,20121026150829
Miami,11/21/2012,11/26/2012,White Party Week,1,20121126084714
Washington D.C,1/11/2013,1/14/2013,Mid Atlantic Leather Weekend,1,20121227013902
Aspen,1/13/2013,1/20/2013,Gay and Lesbian Ski Week,1,20121026150829
Fort Lauderdale,2/2/2013,2/10/2013,Atlantis Caribbean all gay cruise,1,20130115080740
New Orleans,2/8/2013,2/12/2013,Gay Mardi Gras,1,20130115080740
Fort Lauderdale,2/9/2013,2/16/2013,RSVP Mardi Gras Caribbean Cruise,1,20130115080740
Miami,3/6/2013,3/11/2013,Winter Party Miami,1,20130115080740
Fort Lauderdale,3/9/2013,3/10/2013,Pridefest South Florida,1,20121026150829
Mammoth Lakes,3/13/2013,3/17/2013,Elevation Mammoth gay ski week,1,20130115080740
New York,3/22/2013,3/24/2013,The Black Party,1,20130115080740
Palm Springs,3/29/2013,4/1/2013,White Party Palm Springs,1,20130115080740
New Orleans,3/31/2013,3/31/2013,Gay Easter Parade,1,20130115080740
Washington D.C,4/4/2013,4/7/2013,Cherry,1,20121227013902
Miami,4/14/2013,4/14/2013,Miami Beach gay pride,1,20130115080740
Cleveland,4/25/2013,4/28/2013,Claw Leather Awareness,1,20121026150829
Dallas,5/3/2013,5/6/2013,Purple Party,1,20130502104732
Los Angeles,5/18/2013,5/19/2013,Long Beach Pride,1,20130518162639
New York,5/19/2013,5/19/2013,NY AIDS Walk,1,20130518162639
Miami,5/23/2013,5/28/2013,Sizzle,1,20130524134202
Pensacola,5/23/2013,5/27/2013,Memorial Weekend,1,20121026150829
Chicago,5/24/2013,5/27/2013,International Mr Leather,1,20130524134202
Chicago,5/24/2013,5/27/2013,International Mr Leather,1,20121026150829
Las Vegas,5/24/2013,5/27/2013,Matinee Festival,1,20130524134202
Washington D.C,5/24/2013,5/26/2013,DC Black Pride,1,20130524134202
Orlando,5/28/2013,6/3/2013,Disney Gay Days,1,20130524134202
Washington D.C,5/29/2013,6/9/2013,Capital pride,1,20121227013902
Orlando,5/30/2013,6/3/2013,Wonder World,1,20130524134202
Boston,5/31/2013,6/9/2013,Boston Pride,1,20130524134202
Orlando,5/31/2013,6/2/2013,One Mighty Weekend,1,20130524134202
Honolulu,6/1/2013,6/1/2013,Honolulu gay pride,1,20130524134202
Dallas,6/5/2013,6/8/2013,Razzle Dazzle,1,20130524134202
Key West,6/5/2013,6/9/2013,Key West PrideFest ,1,20130524134202
Los Angeles,6/7/2013,6/9/2013,Los Angeles Pride,1,20130524134202
Detroit,6/8/2013,6/9/2013,Motor City Pride,1,20130524134202
Philadelphia,6/9/2013,6/9/2013,Philly Gay Pride,1,20130524134202
Denver,6/15/2013,6/16/2013,Gay Pride Fest Denver,1,20130524134202
Portland,6/15/2013,6/16/2013,Portland Pride,1,20130524134202
Providence,6/15/2013,6/15/2013,Rhode Island Pride,1,20130524134202
New Orleans,6/20/2013,6/24/2013,Gay Pride New Orleans,1,20130524134202
Houston,6/21/2013,6/30/2013,Gay Pride Houston,1,20130524134202
New York,6/23/2013,6/23/2013,Folsom Street East,1,20130524134202
Chicago,6/28/2013,6/30/2013,Chicago Pride,1,20130524134202
New York,6/28/2013,6/30/2013,NYC Gay Pride,1,20130524134202
Cleveland,6/29/2013,6/29/2013,Cleveland Pride,1,20130524134202
Minneapolis,6/29/2013,6/30/2013,Twin Cities Pride,1,20130524134202
San Francisco,6/29/2013,6/30/2013,San Francisco Pride,1,20130524134202
Seattle,6/29/2013,6/30/2013,Seattle Pride,1,20130524134202
New York,6/30/2013,6/30/2013,Dance at the Pier,1,20130524134202
Provincetown,7/1/2013,7/6/2013,Independence Weekend,1,20130524134202
Los Angeles,7/3/2013,7/7/2013,Black Pride at the Beach,1,20130524134202
Provincetown,7/3/2013,7/6/2013,Summer Camp,1,20130524134202
San Diego,7/12/2013,7/14/2013,San Diego Pride,1,20130524134202
Provincetown,7/13/2013,7/21/2013,Bear Week,1,20130721015633
New York,7/19/2013,7/21/2013,Sand Blast Weekend,1,20130721015633
Seattle,7/21/2013,7/28/2013,RSVP gay Alaska cruise,1,20130724162342
San Francisco,7/28/2013,7/28/2013,Up Your Alley,1,20130724162342
Chicago,8/10/2013,8/11/2013,Northalsted Market Days,1,20130810083652
New York,8/14/2013,8/18/2013,NYC Black Pride: Explosion,1,20130818182510
